species_key,occurrence_count
7960979,1830793
8208358,1558661
3120060,1518325
2705308,1505744
5358748,1473022
2881550,1458402
3172358,1362468
8324121,1335782
2878688,1331660
3033339,1329299
2882316,1310254
3113414,1307019
2706164,1289120
2875979,1188645
2882482,1158711
2987999,1147795
2704922,1142214
5290149,1141898
2888951,1127740
9220780,1109824
3033363,1106498
2926557,1085472
2701311,1060277
3012167,1059231
5357013,1055514
3189767,1045503
2706490,1039839
2705975,1032153
8351737,1022128
5285637,1016977
3189870,989203
5341297,965060
3112801,938232
5284884,910316
2913548,909482
2704505,906408
2876213,905445
5365576,904899
4149465,891830
8300875,882859
3034830,881334
2882833,880999
8059811,879648
5371742,879124
2890668,871534
2888728,870187
3023221,866248
2706435,866084
7874883,865817
5275012,853750
2706241,831794
5331916,830795
5289877,828430
5369652,823374
3113239,818730
3117424,815105
5376075,804592
3189486,793098
7924597,792764
5371818,789157
3093702,774499
3034742,772160
2684709,754240
8848598,734839
3120946,724865
3188736,724418
3189846,721534
2704179,719689
3149879,706299
2888995,704060
2975287,703612
9063248,703161
5275132,701014
2879411,699866
2704178,699337
5371685,699252
9094061,698611
3040249,695964
3082234,695881
5356701,684996
5367246,680505
7972010,677487
3033263,677443
3029817,676721
3169386,675154
2993094,672823
2889011,672732
6428353,672479
5289756,653544
5290299,646214
3034620,636217
5384604,628716
2927324,628364
3189172,620828
2965201,618274
3118274,617908
5402943,617326
5298231,617107
5384795,608938
9118014,606275
8195144,603945
3134857,603687
5372952,602415
8211958,602167
2891770,602164
2875818,601802
5375388,601625
2932737,596124
2913130,580463
2928390,580268
8179794,579805
3039454,578738
5367273,576226
5388602,574812
6437976,573047
2927078,572542
2727938,571208
8377689,570844
5334277,570303
5414222,569514
5384616,566498
2724925,566221
3108983,559772
5341478,559206
3189863,552079
7821030,547290
2927282,546644
5275044,544558
2928441,543756
5285565,540284
2975014,537502
6446462,534674
5334186,534101
3128547,533975
11071158,529184
5384738,523090
3105782,519402
5364245,518511
3172300,518367
2882835,515613
2888605,515145
2927208,514112
2700828,510596
2974786,506751
9014945,505318
3172049,504098
5290146,502117
3020791,501702
2888811,499512
5410907,494457
3172077,493199
2703777,492277
3169131,486837
8228544,486241
2889173,486087
2926682,484512
3083838,479165
2888808,472733
3085458,471683
3033558,470711
5372605,469854
5415020,468482
5290081,458280
6364031,456779
3146791,453031
5354656,452832
5384805,450941
2687937,447042
2730127,447026
3109086,446654
2702789,445457
9172281,445208
5356854,444253
2701261,442043
7459480,441373
2702717,440204
3133512,439891
2687932,437972
5334259,437877
2704300,433351
3021037,430511
5394163,429024
3070106,427633
8925249,426676
3063016,421654
2704395,415913
9039392,414817
3170886,414754
10902460,414124
3172048,412026
2726725,411351
3001956,405393
2700934,404859
5275149,402690
5289423,402336
5341300,397637
2925892,397143
2816250,395681
5415040,395034
3103791,394275
2926901,393815
2926683,393315
2724661,392413
3033312,391576
2724609,391152
5352251,391023
2995209,387943
2705495,387519
5285604,386168
3020532,385705
2926612,385114
7296321,384009
5359429,381822
2703647,380998
7558421,380645
6391648,380621
7647071,380481
7622278,378198
5414995,377780
2722602,377208
5275103,376712
3033329,376373
2888443,375161
2891147,374738
5341170,374677
3002461,373142
2914642,372612
8184903,371396
3104179,371332
7693914,370442
9485490,369776
5341184,365675
2769317,364045
3139040,363515
3117449,360773
5369701,360290
5333294,359957
5333412,358929
5371699,358404
2984535,357759
2706231,356051
2700736,353756
2888615,350810
2890040,350268
9458333,349194
5352367,348846
2720080,348844
5403304,348261
8998684,347758
2867589,346241
3120333,343332
8073364,342248
5330580,337334
3140490,336748
2706163,335871
3189747,335012
3046258,333202
6391194,332795
5290142,331621
5295911,331539
2891488,330902
6431455,330487
2730185,327686
3032585,325543
5392252,324532
9148577,323624
5285165,321787
3137498,320290
3169379,320157
5341511,318577
2880130,317725
2770022,314049
5331235,313954
2977149,313411
5274951,312282
2706237,311847
7874303,310718
2857601,309856
5362007,309707
9150405,308675
2888763,308143
3152047,306819
5358812,305358
2726894,304237
2810155,303754
3172057,303558
2865100,303038
2701418,302862
2687929,302760
2703459,302660
2873865,301184
3188794,301073
2926945,299021
3085370,297471
8435025,297132
5359477,296123
8890062,294902
3085440,294315
6413649,293380
3664083,291308
2888723,288922
2927245,288908
5372513,288618
5389029,288270
2726614,288162
3105813,287257
5361865,285665
2706196,282687
5386897,281942
3034426,281695
2701841,281390
7845022,279043
8436459,278846
7400250,278716
3085360,278612
3172062,277498
2704951,277407
3085402,276722
3066367,276087
2681972,275882
3190583,275269
2951984,274016
2808330,273578
3173338,272876
5361866,272842
3172043,272188
2964355,272125
3171949,271678
3046890,269751
2913931,269612
8087525,269539
8089871,269511
2971095,269361
2927280,268641
3033289,268604
2685484,267931
5420852,267793
5331355,267711
5359246,267485
9151957,266500
8108066,265737
2705484,265334
3093337,265088
2889299,264073
2717002,262040
4118973,261011
3169707,260397
8285827,260233
2992808,259884
3021850,259032
3113650,257583
2704389,257466
3992189,255196
2927007,254998
2723099,254828
8262702,254797
5414326,253990
6391461,253869
